,крупный,мелкий,средний,octant,кластер
surface/digits_add,-21.07,5.37,-5.5,−+−,2
surface/punct_add,-0.35,34.44,-8.25,0+−,2
surface/typos,-1.35,6.02,3.57,0++,2
syntax/burst_1to4,4.09,7.5,1.27,++0,2
burst_flatten,2.6,8.46,0.87,0+0,2
surface/caps_terms,3.15,6.36,8.98,+++,2
vocab/top10,-33.74,76.29,-59.71,−+−,4
vocab/top25,-27.38,61.3,-54.61,−+−,4
vocab/top60,-16.94,34.25,-38.62,−+−,2
syntax/drop_funcwords,-12.79,8.82,3.02,−++,2
syntax/no_sent_bounds,-0.08,11.32,4.9,0++,2
deplete/ideas_down,-21.23,-3.23,-42.96,−−−,3
ideas_up_hard,-1.29,5.09,17.73,0++,2
ideas_up_v2,2.48,3.19,16.67,0++,2
deplete/lexdiv_down,2.67,0.56,-6.93,00−,2
lexical_diversity_up_hard,2.05,4.45,15.61,0++,2
enrich/lexdiv_up,3.19,6.27,16.27,+++,2
loop/echo6w_x2,6.48,-35.82,-21.94,+−−,3
loop/echo6w_x4,10.02,-54.43,-53.73,+−−,3
loop/phrase12w_x4,-50.34,26.1,-84.45,−+−,4
loop/tail_keep40_unit3w_drift,-28.45,-51.8,-54.62,−−−,3
loop/tail_keep20_unit3w,-41.09,-8.63,-81.69,−−−,4
loop/tail_keep40_unit3w,-22.3,-32.46,-69.91,−−−,3
loop/tail_keep60_unit3w,-23.71,-46.22,-49.93,−−−,3
loop/tail_keep60_unit1w,-9.85,-45.8,-41.39,−−−,3
surface/lowercase,2.18,4.52,-0.41,0+0,2
ngram/n2,-9.31,26.49,28.22,−++,1
ngram_3,-4.11,22.1,31.07,−++,1
ngram/n4,1.31,14.35,24.66,0++,1
ngram_wide_2,-8.39,30.42,28.48,−++,1
ngram_wide_3,-5.47,25.06,31.07,−++,1
shuffle_within_sentences,-13.94,42.79,-4.65,−+−,2
shuffle/words,-14.86,43.15,-5.39,−+−,2
splice/every2nd_sent,0.87,9.61,18.11,0++,2
splice/all_sents,2.14,22.42,30.93,0++,1
strip_digits,-0.25,2.34,-0.38,000,2
surface/punct_strip,0.92,18.32,9.23,0++,2
style/bulletin_abbrev,-14.85,6.5,-1.84,−+0,2
style/dialogue_interj,-21.92,-5.55,-18.18,−−−,2
style/literary_T0.7,9.23,14.03,24.34,+++,1
style/literary_T1.3,11.33,11.13,28.82,+++,1
style/literary_T1.7,9.02,8.11,27.7,+++,1
style/news_dates,3.89,9.75,9.14,+++,2
style/telegraphic,-14.2,-0.21,-4.4,−0−,2
style/scientific_terms,4.31,-1.57,7.62,+0+,2
style/simplified,-12.22,0.42,-17.18,−0−,2
surface/numbered_list,-4.47,-5.48,-2.07,−−0,2
topics_down_v2,1.97,1.63,-6.25,00−,2
enrich/topics_up_hard,7.58,10.58,29.29,+++,1
topics_up_v2,6.78,8.85,25.44,+++,1
rarity/common_words,-2.83,2.08,-2.79,000,2
rarity/rare_words,3.61,1.8,4.4,+0+,2
hapax_swap_local,-20.47,14.41,-11.68,−+−,2
hapax_swap_wide,-19.95,15.47,-12.43,−+−,2
hapax_swap_wide_50,-13.8,10.2,-7.55,−+−,2
echo_p25,1.48,-19.39,-9.86,0−−,3
echo_p50,4.7,-29.91,-15.03,+−−,3
marker_p12,0.99,18.45,-5.36,0+−,2
marker_p3,0.59,87.18,-18.48,0+−,4
marker_p6,1.23,43.68,-10.49,0+−,2
context_locked,-1.07,-10.95,-7.43,0−−,2
syntax_complex,3.74,7.67,5.67,+++,2
syntax_monotone,-18.37,-0.78,-14.68,−0−,2
syntax_simple,-5.51,-1.65,-9.44,−0−,2
syntax_varied,3.9,4.24,6.99,+++,2
terms_long,-0.4,-3.88,-5.33,0−−,2
style_anaphora,-23.28,-18.12,-19.89,−−−,3
style_catechism,-6.59,-32.04,-17.69,−−−,3
style_code,-7.65,-15.96,-16.2,−−−,3
style_equations,-16.8,-18.24,-26.16,−−−,3
style_literary_apiyi,11.33,10.43,30.48,+++,1
style_record_fields,-18.29,-26.47,-15.96,−−−,3
literary_echo25,12.36,-16.15,14.94,+−+,2
literary_echo50,17.62,-27.34,9.34,+−+,2
commonize_types,-0.09,1.8,-0.08,000,2
vocab/expand100,-22.12,27.83,5.78,−++,2
vocab/expand50,-18.37,19.35,3.11,−++,2
rarify_types,-0.09,1.8,-0.08,000,2
rarify_types_50,-0.09,1.8,-0.08,000,2
lexdiv_down_more,-0.08,3.36,-13.68,0+−,2
topics_down_more,0.86,3.6,-14.65,0+−,2
inject_topic,1.49,3.81,8.42,0++,2
syn_max,1.41,2.99,14.42,00+,2
syn_none,-1.63,-3.6,-10.01,0−−,2
